Category,Field,Number,Name,Field + Number, 
CA,AAS,1100,Introduction to Asian American Studies,AAS 1100, 
CA,AAS,2100,South Asian Diaspora,AAS 2100, 
CA,AAS,2910,It's All Chinese to Me,AAS 2910, 
CA,AAS,3030,Asians in the Americas: A Comparative Perspective,AAS 3030, 
CA,AAS,3470,Asian American Women's History,AAS 3470, 
CA,AAS,4050,Critical Filipino and Filipino American Studies,AAS 4050, 
CA,AAS,4630,"Rethinking Asian American Literature: Indigeneity, Diaspora, Settler Colonialism",AAS 4630, 
CA,AEM,4421,Research and Strategy in Emerging Markets,AEM 4421, 
CA,AIIS,1110,Indigenous Issues in Global Perspectives,AIIS 1110, 
CA,AIIS,2100,Indigenous Ingenuities as Living Networks,AIIS 2100, 
CA,AIIS,2240,Native American Languages,AIIS 2240, 
CA,AIIS,2350,Archaeology of North American Indians,AIIS 2350, 
CA,AIIS,2600,Introduction to Native American Literature,AIIS 2600, 
CA,AIIS,2850,Indigenous Representation in Still and Motion Photography,AIIS 2850, 
CA,AIIS,2910,Indigeneity as Rights: Haudenosaunee Rights Advocacy,AIIS 2910, 
CA,AIIS,3330,Ways of Knowing: Indigenous and Place-Based Ecological Knowledge,AIIS 3330, 
CA,AIIS,3422,"Culture, Politics, and Environment in the Circumpolar North",AIIS 3422, 
CA,AIIS,4000,Critical Approaches to American Indian and Indigenous Studies: Intellectual History,AIIS 4000, 
CA,AIIS,4625,Contemporary Native American Fiction,AIIS 4625, 
CA,AIIS,4900,"New World Encounters, 1500 - 1800",AIIS 4900, 
CA,AIIS,6240,Native American Languages,AIIS 6240, 
CA,AIIS,6422,"Culture, Politics, and Environment in the Circumpolar North",AIIS 6422, 
CA,AMST,1101,Introduction to American Studies,AMST 1101, 
CA,AMST,1321,Music of Mexico and the Mexican Diaspora,AMST 1321, 
CA,AMST,1500,Introduction to Africana Studies,AMST 1500, 
CA,AMST,1601,Indigenous Issues in Global Perspectives,AMST 1601, 
CA,AMST,2006,Punk Culture: The Aesthetics and Politics of Refusal,AMST 2006, 
CA,AMST,2106,Introduction to Latinx Studies,AMST 2106, 
CA,AMST,2108,Indigenous Ingenuities as Living Networks,AMST 2108, 
CA,AMST,2260,Music of the 1960's,AMST 2260, 
CA,AMST,2320,Latino Music in the US,AMST 2320, 
CA,AMST,2340,The Beatles,AMST 2340, 
CA,AMST,2371,Planet Rap: Where Hip Hop Came From and Where It's Going,AMST 2371, 
CA,AMST,2562,Black Queer Writing and Media,AMST 2562, 
CA,AMST,2650,Introduction to African American Literature,AMST 2650, 
CA,AMST,2721,Anthropological Representations: Ethnographies on Latino Culture,AMST 2721, 
CA,AMST,2770,"Representing Racial Encounters, Encountering Racial Representations",AMST 2770, 
CA,AMST,2885,Consumer Culture,AMST 2885, 
CA,AMST,2910,It's All Chinese to Me,AMST 2910, 
CA,AMST,3001,Constitutional Law and U.S. Politics,AMST 3001, 
CA,AMST,3039,Community Engagement in Archaeology,AMST 3039, 
CA,AMST,3131,"The Nature, Functions, and Limits of Law",AMST 3131, 
CA,AMST,3317,Music in the Making and Unmaking of Race,AMST 3317, 
CA,AMST,3405,Multicultural Issues in Education,AMST 3405, 
CA,AMST,3420,Refugees and the Politics of Vulnerability: Intersections of Feminist Theory and Practice,AMST 3420, 
CA,AMST,3434,Underground Railroad Seminar,AMST 3434, 
CA,AMST,3442,"Merchants, Whalers, Pirates, Sailors: American Maritime Literature from the 19th Century and Beyond",AMST 3442, 
CA,AMST,3470,Asian American Women's History,AMST 3470, 
CA,AMST,3475,Nueva York: Caribbean Urbanisms,AMST 3475, 
CA,AMST,3581,Imagining Migration in Film and Literature,AMST 3581, 
CA,AMST,3703,Asians in the Americas: A Comparative Perspective,AMST 3703, 
CA,AMST,3707,Hidden Identities Onscreen,AMST 3707, 
CA,AMST,3732,Africans and African Americans in Literature,AMST 3732, 
CA,AMST,3734,Whiteness in Literature and Popular Culture,AMST 3734, 
CA,AMST,3762,"Law, Latinxs, Illegality",AMST 3762, 
CA,AMST,3777,The United States,AMST 3777, 
CA,AMST,3812,Edge Cities: Celluloid New York and Los Angeles,AMST 3812, 
CA,AMST,3981,Latinx Popular Culture Matters,AMST 3981, 
CA,AMST,4052,Critical Filipino and Filipino American Studies,AMST 4052, 
CA,AMST,4434,"Ethnoracial Identity in Anthropology, Language, and Law",AMST 4434, 
CA,AMST,4533,The Lower East Side: Jews and the Immigrant City,AMST 4533, 
CA,AMST,4560,The Politics and Joy in Black Women's Writing,AMST 4560, 
CA,AMST,4603,Black Speculative Fiction,AMST 4603, 
CA,AMST,4632,"Rethinking Asian American Literature: Indigeneity, Diaspora, Settler Colonialism",AMST 4632, 
CA,AMST,4664,Dark Laboratory: Black and Native Media Ecologies,AMST 4664, 
CA,AMST,4674,"Dispossession, Truth, and Reconciliation",AMST 4674, 
CA,AMST,4705,Nightlife,AMST 4705, 
CA,AMST,4720,New Latinx Writing,AMST 4720, 
CA,AMST,4733,The Future of Whiteness,AMST 4733, 
CA,AMST,4757,"Be a Man! Masculinity, Race, and Nation",AMST 4757, 
CA,AMST,4771,"Indigenous Art, Film, and New Media: Anti-Colonial Strategies",AMST 4771, 
CA,ANTHR,1190,Humanity,ANTHR 1190, 
CA,ANTHR,1400,Introduction to Sociocultural Anthropology,ANTHR 1400, 
CA,ANTHR,1900,Global Engagements: Living and Working in a Diverse World,ANTHR 1900, 
CA,ANTHR,2285,Egyptomania? Egypt and the Greco-Roman World,ANTHR 2285, 
CA,ANTHR,2410,South Asian Diaspora,ANTHR 2410, 
CA,ANTHR,2415,Anthropology of Iran,ANTHR 2415, 
CA,ANTHR,2420,Nature-Culture: Ethnographic Approaches to Human Environment Relations,ANTHR 2420, 
CA,ANTHR,2433,Anthropology of Law and Politics,ANTHR 2433, 
CA,ANTHR,2440,The Social Life of Money,ANTHR 2440, 
CA,ANTHR,2465,Global Heritage,ANTHR 2465, 
CA,ANTHR,2468,"Medicine, Culture, and Society",ANTHR 2468, 
CA,ANTHR,2470,Islam and Gender,ANTHR 2470, 
CA,ANTHR,2482,Anthropology of Climate Change,ANTHR 2482, 
CA,ANTHR,2546,South Asian Religions in Practice: The Healing Traditions,ANTHR 2546, 
CA,ANTHR,2721,Anthropological Representations: Ethnographies on Latino Culture,ANTHR 2721, 
CA,ANTHR,2846,Magic and Witchcraft in the Greco-Roman World,ANTHR 2846, 
CA,ANTHR,3000,Introduction to Anthropological Theory,ANTHR 3000, 
CA,ANTHR,3017,Music in the Making and Unmaking of Race,ANTHR 3017, 
CA,ANTHR,3030,Community Engagement in Archaeology,ANTHR 3030, 
CA,ANTHR,3061,Computing Cultures,ANTHR 3061, 
CA,ANTHR,3405,Multicultural Issues in Education,ANTHR 3405, 
CA,ANTHR,3420,"Myth, Ritual, and Symbol",ANTHR 3420, 
CA,ANTHR,3422,"Culture, Politics, and Environment in the Circumpolar North",ANTHR 3422, 
CA,ANTHR,3432,"Hasidism: History, Community, Thought",ANTHR 3432, 
CA,ANTHR,3458,"Specters: Derrida, Marx, and Other Ghosts",ANTHR 3458, 
CA,ANTHR,3465,Anthropology of the Body,ANTHR 3465, 
CA,ANTHR,3471,Race and Religion,ANTHR 3471, 
